##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Wickerhamiella_fastp_R1.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4554908
1115	105-109	0.2114925430862229
1115	110-114	0.08521952686135847
1115	115-119	-0.03400246031070964
1115	120-124	0.17220384116880894
1115	125-129	0.0019639406693059414
1115	130-134	0.26116088157214534
1115	135-139	0.06248111251605337
1115	140-144	0.22561866621340698
1115	145-149	0.04977538598581077
1115	150-151	0.10176884807265907
1116	1	0.15781556284697018
1116	2	0.2043650036571023
1116	3	0.2206040641538678
1116	4	0.0162681613397595
1116	5	0.03373544585458177
1116	6	0.41404821363915545
1116	7	0.20660921206197713
1116	8	0.1906295562458311
1116	9	0.17000879517641465
1116	10-14	0.2118160113899492
1116	15-19	0.1457203602782826
1116	20-24	0.07589056850446951
1116	25-29	0.14403107655429892
1116	30-34	0.19518880208764955
1116	35-39	0.21831256932620846
1116	40-44	0.24180901244139363
1116	45-49	0.17491269878625815
1116	50-54	0.2383410601818099
1116	55-59	0.18880630642252072
1116	60-64	0.4098583073287756
1116	65-69	0.2935255740155611
1116	70-74	0.2544065564512721
1116	75-79	0.2507541823822734
1116	80-84	0.21317005151045976
1116	85-89	0.16036814490696827
1116	90-94	0.18860270431722626
1116	95-99	0.34165587272899955
1116	100-104	0.22728999847923603
1116	105-109	0.18147708332555368
1116	110-114	0.33729363250046873
1116	115-119	0.31114086810664787
1116	120-124	0.2195890679854955
1116	125-129	0.2694824741469972
1116	130-134	0.23549347231583795
1116	135-139	0.2693324390751002
1116	140-144	0.16696771609571215
1116	145-149	0.1327159773389468
1116	150-151	0.6020108132253554
1117	1	0.14717086436962035
1117	2	0.46393900211202066
1117	3	-0.23542336285517962
1117	4	0.643493668742984
1117	5	0.2262371636027467
1117	6	0.14850748787720391
1117	7	0.11618979670156904
1117	8	0.19943724321337442
1117	9	0.2617525676717918
1117	10-14	0.21432232166688436
1117	15-19	0.1768883222279456
1117	20-24	0.2820901263400728
1117	25-29	0.03398554287754507
1117	30-34	0.1984242208087892
1117	35-39	0.17607220080651587
1117	40-44	0.2537096109874284
1117	45-49	0.17980914164640183
1117	50-54	0.1635914108314509
1117	55-59	0.10924593148334338
1117	60-64	0.08395912354929891
1117	65-69	0.19743450586948796
1117	70-74	0.10003008937798086
1117	75-79	0.17454602740578906
1117	80-84	0.14712084046122698
1117	85-89	0.25125845142301984
1117	90-94	0.12499059580934357
1117	95-99	0.164468893557995
1117	100-104	-0.07745928062043816
1117	105-109	0.2049015108916521
1117	110-114	0.1194618498956217
1117	115-119	0.10754433833422183
1117	120-124	0.396800651611386
1117	125-129	0.30900155190969514
1117	130-134	0.37029343592860897
1117	135-139	0.21727554291258855
1117	140-144	0.3456805698887351
1117	145-149	0.11882849922824334
1117	150-151	0.4404777987407371
1118	1	-0.11500074084187872
1118	2	0.2770083981304623
1118	3	0.2195637389984526
1118	4	0.1110668942954689
1118	5	-0.2854219625160894
1118	6	0.061148396951622885
1118	7	0.5748340944872936
1118	8	0.1200165894896017
1118	9	0.15200040800326065
1118	10-14	0.09008505382445264
1118	15-19	0.1562541905761421
1118	20-24	0.20013265575546058
1118	25-29	0.051762127390333035
1118	30-34	-0.043609586484564034
1118	35-39	0.04188062992528785
1118	40-44	0.0773844924984246
1118	45-49	-0.061700481910961
